CGI,Ave CO46 week 0,Ave CO46 week 1,Ave CO46 week 2,Ave CO46 week 4,Ave CO46 week 6,Ave CO46 week 8,Ave Joelle week 0,Ave Joelle week 1,Ave Joelle week 2,Ave Joelle week 4,Ave Joelle week 6,Ave Joelle week 8
Csa08g044380,6.089771308,1.62773161,2.255975056,5.526200039,3.265237355,6.819843314,6.090796683,3.551896399,4.279253209,6.528298955,5.054875684,5.153669258
Csa08g044430,4.492585331,3.950438564,5.278267623,4.109655727,4.594197215,5.631057161,2.949738501,4.001472543,2.930369662,4.33745377,4.164890631,5.439177281
Csa08g044590,12.354203,1.937181922,3.135703796,10.49073287,4.503201995,7.324114215,16.67578648,2.442768997,3.162028337,4.290747793,3.861884079,5.395098036
Csa08g044610,11.10272134,5.672341878,14.71620879,13.1183882,18.1103249,10.64658379,9.29198993,4.010799327,6.616172095,7.790041575,11.03054142,10.97347994
Csa08g044630,3.096281568,4.053152042,4.344291825,4.490216372,4.437579185,4.508198409,1.735443423,2.197594728,2.508681466,2.480985205,3.088456212,2.563249421
Csa08g044760,1.3363695,40.9490513,64.69263274,90.04722704,45.80938391,64.02172929,5.024205299,232.3218003,312.9426714,419.6215526,243.1290907,267.0510765
Csa08g044770,1.102832057,6.313316815,24.4907379,17.05675317,10.70348199,14.68931333,1.255778949,34.12685117,50.80369579,98.29039406,49.12541725,64.51792364
Csa08g044810,4.216374434,15.77699511,9.563891861,15.50285353,7.682133137,8.294661121,2.698019168,56.1209326,63.6973782,27.82181568,10.4675592,10.29116297
Csa08g046960,2.272235921,1.875301244,1.947398916,1.861425206,2.625685122,2.798068625,1.513028037,1.286034987,1.483372799,1.603866622,1.698981512,1.400122542
Csa08g046990,39.10829823,52.21691377,29.15737367,19.5843283,24.16934305,26.68735432,15.5669387,52.77061903,12.38091115,16.32018422,22.86324941,24.64183568
Csa08g047000,0.607928567,1.421498003,1.48023814,2.02340352,2.16603058,3.392410571,0.011471167,0.001,0.001,0.049446102,0.094612132,0.122596905
Csa08g047030,2.488459486,3.490863258,5.11387879,3.07475864,3.430436545,4.043360292,1.486374076,2.544562822,1.981196677,2.002504119,2.401402888,3.349995046
Csa08g047070,2.50100719,2.443383367,2.222771958,1.00558504,1.321480673,0.948154065,2.263449888,1.393480381,1.373982397,0.885537741,0.472180687,0.430928992
Csa08g047100,2.940205156,3.876249071,4.274841874,4.784694586,4.972504473,5.125951498,0.916382794,3.379105929,3.419211217,4.248920464,3.347537278,3.962763263
Csa08g047140,5.096901151,4.420843866,2.496541306,2.935536664,2.438910793,2.750511029,3.520868103,3.753510255,1.205638611,1.934773915,1.812994856,2.091799985
Csa08g047170,6.323156614,3.794960829,0.942991944,0.938590653,0.703355231,0.514533212,7.521547034,6.479729937,2.678367647,2.930473337,2.214162126,2.011034159
Csa08g047190,7.512370332,3.518548543,5.851069668,3.919409139,5.167233683,4.091888153,17.79265559,6.775927432,8.604708843,6.63733988,6.751463884,6.930745341
Csa08g047300,2.777707213,6.910875303,2.97015043,3.027052581,3.673106102,4.341336104,2.064602878,6.327388281,5.874249668,3.298156705,3.472229097,3.294173079
Csa08g047310,1.782470767,2.787578919,1.180018086,1.576558844,2.063807183,1.881009492,0.881232125,1.50531002,1.970156687,1.508218279,1.535608148,1.320558449
Csa08g047360,2.421546502,4.562928792,3.499101223,3.398134563,3.786420244,4.303810905,2.318494804,5.370380772,5.32727281,6.026200136,6.043262285,5.955094185
Csa08g047370,35.48228575,12.19393646,13.62505196,30.77638513,22.03340504,23.70271121,50.63042183,37.68872092,43.5424592,56.17577927,45.79794659,38.08371858
Csa08g048470,15.62870464,3.089731076,1.141906283,1.994204106,2.128664313,2.174558541,7.383724961,1.529859483,0.956272886,0.954772425,0.864742187,0.916083547
Csa08g048520,8.992555531,9.673353669,6.146845245,6.704907893,5.693919665,6.808979914,9.741753325,12.32614424,12.20576531,10.91240717,9.982496791,9.34776634
Csa08g048550,3.587774125,4.477422159,1.518743315,1.370376633,0.911920794,1.512336401,5.956328609,3.676704936,4.780545092,3.388351384,1.99231437,5.744905043
Csa08g048560,4.873043481,4.829182256,4.877087896,5.846304653,4.805720301,5.453740653,5.051045263,9.364593992,9.324530218,9.887959749,10.4754429,8.410638088
Csa08g048570,1.42565602,0.787935736,0.643449871,1.704408265,0.530280687,0.800801073,4.557984068,3.594037697,5.172607041,5.044215759,4.29875914,4.088513972
Csa08g048600,202.3219759,155.718121,74.933201,159.7985467,144.7023968,114.4176137,217.9584479,163.7030651,173.4651861,156.6611442,171.901956,142.576418
Csa08g048660,3.188137651,1.902655706,3.649225679,3.216183204,2.922602473,2.927325665,2.383528212,1.903508214,2.060745129,1.86499858,2.404559684,2.242882583
Csa08g048670,0.631660601,1.284789855,1.01732327,1.270423064,1.005119419,2.082715459,0.530218934,0.517341285,0.516127635,0.865220558,0.653043266,0.840015644
Csa08g048720,3.236479435,3.950537615,4.658436999,4.632640714,3.683793729,4.499807192,2.660252806,2.473323555,2.69837963,2.305638548,3.059329227,3.01211746
Csa08g048760,0.022441789,0.001,0.060595275,0.726144462,0.0143851,0.006684066,1.683707928,1.860538379,2.082519273,2.390008677,2.322197884,2.499312605
Csa08g048780,0.010343477,0.005680144,0.009385971,1.473367732,0.012740839,0.009359196,2.138541266,3.032560777,2.837097356,3.691886622,3.87215705,3.994687877
Csa08g048840,10.10125206,2.35804618,1.29972349,0.515902906,0.928966273,0.791497272,13.50329835,1.655081637,1.534558428,0.837042157,1.167995765,1.955324818
Csa08g048880,5.572956625,4.129749553,4.450269114,2.82349568,2.801466993,2.987576359,3.930762022,3.336661363,2.424802817,2.675097505,2.571909234,2.594854432
Csa08g048890,3.269282753,2.364193313,1.517914195,1.314434998,1.645682243,1.815950207,1.676439051,0.379237348,0.269711409,0.509951831,0.676828368,0.617186154
Csa08g048980,4.412372222,4.871744522,1.138676589,1.394159793,1.351982007,2.269986469,2.48496705,3.814145175,1.648515618,1.369065797,1.039178723,1.488624427
Csa08g049000,2.558509265,2.46348722,2.845989661,1.762024562,2.720712117,2.952474073,0.632434924,0.852903968,0.981397824,1.371788365,1.39571746,1.826561075
Csa08g049020,9.312318208,3.029103069,3.258245613,4.000470491,4.855723608,4.76054547,4.08709062,1.850248132,2.074944987,2.038355416,2.272269082,2.004338361
Csa08g049150,0.883259229,0.778208986,3.771106666,2.676811469,2.2811839,2.207002612,1.079138302,1.575743579,2.057414156,3.253148183,3.181125962,3.31086044
Csa08g049190,2.739027337,2.399069237,1.225750871,1.934926927,1.752553648,1.973654261,1.561104298,1.688600565,1.600093682,1.857532134,1.691863396,1.488836114
Csa08g049230,5.495543966,6.790995567,5.41880331,7.155430418,6.570215991,9.31547927,4.413026791,14.29212601,15.45441824,18.1809039,20.19037977,17.3685997
Csa08g049270,12.54575512,12.57955,20.21942641,28.29707846,20.32075078,29.06390049,8.585701026,24.47973208,24.83679579,36.44917888,29.95391424,40.47038239
Csa08g049280,3.270885922,7.793210431,7.633034304,7.820198418,7.47930102,4.700367168,2.599470659,13.76503579,10.63366212,8.999309726,7.641933802,6.435308702
Csa08g049300,7.787983373,7.180407641,6.407880321,5.276066912,8.298630821,7.467065554,3.075764354,3.510552117,4.020524259,2.408271403,2.928720928,2.809699544
Csa08g049790,3.852986956,2.84354682,1.829783401,2.730521286,3.00847035,3.00788283,2.825618729,2.880746528,3.653703467,2.745237851,2.393440476,2.252064732
Csa08g049850,0.020464698,0.001,2.406354638,1.030720407,0.004141842,0.001,2.039528495,1.446403585,1.191749816,2.706382082,2.707661244,3.721898519
Csa08g049870,3.30244172,1.641068607,2.085610335,3.536614582,1.682962453,3.900887706,1.318497922,1.160992771,0.847246102,1.333073838,0.63195904,1.046701298
