Gene ID,LOG2Diff0,LOG2Diff1,LOG2Diff2,LOG2Diff4,LOG2Diff6,LOG2Diff8
Csa00582s010,-1.498184578,0.224625325,-0.298511124,1.602948744,-0.167024356,0.13614599
Csa00583s040,0.895803361,0.358530855,-1.78083093,0.181798897,-0.462148543,0.80684636
Csa00583s050,-0.516809524,0.411821986,1.422960894,-1.549818667,0.350100835,-0.118255524
Csa00583s060,-0.016569756,0.400263043,-1.525106182,-0.387315396,-0.008632544,1.537360835
Csa00590s060,-0.543144658,1.143195481,-1.477859473,1.078715931,-0.223375208,0.022467927
Csa00590s070,-0.511992366,0.219324275,-1.722072322,0.247604907,0.658250802,1.108884705
Csa00595s030,1.486691334,0.507183969,-0.072711803,-1.487869856,0.114712419,-0.548006062
Csa00599s050,-1.38499677,1.00266168,-0.322516315,0.872600349,0.689732504,-0.857481448
Csa00604s060,-0.488274748,0.209188765,-1.728453646,0.467979384,0.365955751,1.173604494
Csa00608s010,0.672363924,-0.078262694,-1.916829963,0.618189343,0.696666746,0.007872643
Csa00618s010,0.23156448,-1.324360322,-0.197249321,-0.853847612,0.820603516,1.323289258
Csa00619s030,0.573109091,1.145133567,-1.695417287,-0.563472249,0.165145477,0.375501401
Csa00621s040,0.570857768,1.035023212,-1.766491628,0.053470104,0.540271971,-0.433131427
Csa00621s050,0.516182095,0.718744462,-1.966869315,0.149447427,0.011602712,0.570892619
Csa00621s070,0.552525526,0.506096636,-1.946589693,0.037622593,0.046747054,0.803597884
Csa00621s080,0.384550269,0.080396427,-1.680541508,-0.574142604,0.682479907,1.107257509
Csa00626s010,-1.025672089,1.393712571,-1.177783351,0.722094774,-0.171961097,0.259609191
Csa00630s010,-1.66604787,1.228135045,0.154304519,-0.459169807,0.050872016,0.691906097
Csa00633s010,-0.292774577,0.189489295,-1.627831037,1.395865191,-0.166968727,0.502219856
Csa00633s020,-0.083447221,0.840561205,-1.870459854,0.86815655,0.077214818,0.167974501
Csa00633s030,-1.811379585,0.35346942,1.208697023,-0.159376594,0.314161129,0.094428606
Csa00633s060,-0.611546552,1.133599061,-1.396639844,1.05910172,-0.446969679,0.262455295
Csa00633s100,1.605876736,0.784467938,-0.686661871,-0.703524319,-0.911880453,-0.08827803
Csa00634s040,-0.572001588,1.840085899,-0.845390512,-0.633363977,-0.167494584,0.378164763
Csa00636s020,0.697664285,-0.121989987,1.317199052,-1.059672957,0.387561298,-1.220761692
Csa00637s040,1.326365365,0.490523893,-1.351452102,0.391255045,-1.000044084,0.143351884
Csa00639s060,-0.549723411,0.104072884,-1.005384465,1.80946416,0.231746973,-0.590176141
Csa00639s070,0.804913343,-0.992413451,0.90243787,-1.493802327,0.484499485,0.29436508
Csa00647s010,-0.270106572,1.02956858,-1.816167516,0.292714854,0.072929242,0.691061411
Csa00661s020,-0.638047286,0.132017797,1.723359802,-0.566166111,0.406861235,-1.058025438
Csa00668s030,1.533853887,-0.645653603,-1.343423897,-0.090043032,-0.094020673,0.639287319
Csa00669s020,-0.406642637,0.204665002,1.749032037,-0.712241204,-1.079938434,0.245125236
Csa00669s080,-1.107411105,0.24502468,-1.055964548,1.263379656,-0.300176894,0.95514821
Csa00704s010,0.912621579,0.052864723,-1.876575389,0.332033697,-0.13760989,0.716665281
Csa00727s010,-1.821968828,0.5580314,1.116892287,-0.191240076,0.287021692,0.051263525
Csa00751s010,1.431832166,0.250277155,-0.932965251,-1.353191938,0.261846199,0.342201669
Csa00751s030,1.606657032,-0.381323751,-1.433456751,-0.293738968,0.306750505,0.195111933
Csa00751s050,-1.292641139,0.641097257,-0.427785619,1.515977975,-0.631575065,0.194926591
Csa00765s020,-1.011163866,0.461673329,-0.969176771,-0.655969138,1.210371902,0.964264543
Csa00765s030,0.226526806,-1.337425906,-0.064171391,-0.944303459,0.964089918,1.155284031
Csa00848s030,-0.023121253,0.572319474,0.44817478,-1.897226195,0.933000128,-0.033146933
Csa00869s010,0.989554779,0.3585802,-1.778346896,0.522839292,-0.521725644,0.429098269
Csa00879s010,-0.242845729,0.063617231,-1.181440875,1.506422854,-0.866993988,0.721240507
Csa00894s030,0.466439076,0.612405293,-1.722640226,-0.338466076,-0.158071027,1.140332961
Csa00990s010,1.540181778,0.683154509,-0.689218638,-0.979885094,-0.812072359,0.257839803
Csa01186s020,0.710914788,-1.299920058,0.182475107,-1.20878939,0.754225609,0.861093945
Csa01198s010,0.532800032,-0.729969457,-1.634625365,0.83963641,0.099790021,0.892368358
Csa01198s020,0.513046624,0.501869901,-1.776811217,0.555045413,-0.603110194,0.809959472
Csa01264s010,-0.500998289,0.014148002,-1.734752818,0.618773021,0.611650689,0.991179395
Csa01280s010,-0.919243826,1.427953253,-0.986706448,-0.682327087,0.537709681,0.622614428
Csa01575s010,1.269736429,-1.283693446,-0.403588383,-0.857786854,0.755950713,0.519381543
Csa01622s020,0.91711139,0.524921788,-0.687694916,-1.346015441,1.139533145,-0.547855966
Csa01640s010,1.512680882,-0.651128401,-1.068902593,-0.695626091,0.095330179,0.807646024
Csa01858s020,0.674193098,0.250512263,-1.775992346,-0.312462381,0.055676323,1.108073043
Csa01g001010,-1.006136443,-0.172308277,-1.345005491,0.953081122,0.846692201,0.723676887
Csa01g001020,-0.883643307,0.831966693,-1.196944526,-0.317689377,0.163986916,1.402323601
Csa01g001040,1.752816187,-0.071374114,-1.222157563,-0.533510542,-0.228860471,0.303086502
Csa01g001120,-0.236377531,0.612314267,-1.78830488,0.58539751,-0.172403794,0.999374427
Csa01g001180,1.639027009,-0.592506662,-0.988715982,-0.61404785,-0.197908117,0.754151602
Csa01g001220,-0.635232499,0.426333623,-1.241098823,-0.183169977,-0.051524294,1.68469197
Csa01g001350,1.937726984,-0.138417841,-0.337176826,-0.645814454,0.017342354,-0.833660217
Csa01g001400,0.511841507,1.143354014,-1.814657965,-0.138066218,-0.044176602,0.341705264
Csa01g001500,1.614101435,-0.592691835,-1.045940293,-0.577470867,0.767222995,-0.165221435
Csa01g001550,-0.740848316,0.911705133,-1.6862747,0.455656052,0.469693067,0.590068763
Csa01g001570,-0.26821853,1.597846258,-0.891135331,-0.559552451,-0.733320482,0.854380536
Csa01g001580,-0.742033867,0.703022414,-1.689889175,0.752986188,0.320286253,0.655628187
Csa01g001610,-1.405859942,0.824264975,-1.11729448,0.593340851,0.295261285,0.810287311
Csa01g001640,-0.411531138,0.684238749,-1.244543453,-0.503165184,-0.120573444,1.595574471
Csa01g001680,0.13281402,0.217109258,-1.207906016,1.60161025,-0.935081336,0.191453824
Csa01g001700,-0.665452928,0.231162781,-1.659255809,0.479629861,0.476655952,1.137260142
Csa01g001710,1.487032716,0.57239103,-1.528292701,-0.321105991,-0.116399158,-0.093625897
Csa01g001720,-0.637503496,0.436101366,-1.3718351,0.012850944,-0.027242774,1.58762906
Csa01g001730,0.916821072,1.003854259,-1.70193105,-0.404089694,0.285910266,-0.100564853
Csa01g001740,-1.252488063,0.668707993,-1.283020305,0.894876818,0.3059063,0.666017257
Csa01g001760,0.719340819,0.489753881,-1.943980176,0.410931397,0.510038285,-0.186084207
Csa01g001790,-0.937558518,0.876625394,-1.564541496,0.664095748,0.508743137,0.452635735
Csa01g001830,-0.12548815,0.79424255,-1.842246391,0.133407571,0.072340106,0.967744315
Csa01g001840,-0.317612026,1.242803351,-1.75131296,0.355961644,0.076600586,0.393559405
Csa01g001850,0.215980578,-0.090658577,-1.955135852,0.549334521,0.662545935,0.617933395
Csa01g001910,0.068783316,1.119536323,-1.853084725,0.340945194,0.425833224,-0.102013333
Csa01g001930,0.104829728,0.773880531,-1.991227651,0.444470881,0.381111776,0.286934735
Csa01g001950,0.567695764,0.439345675,-2.002230284,0.53142192,0.439032743,0.024734183
Csa01g001970,-0.832639637,0.70236003,-1.451315011,0.187390174,0.105465396,1.288739048
Csa01g001990,0.953928803,0.644378336,-1.822729758,0.113200206,0.463932851,-0.352710438
Csa01g002030,-0.268480047,1.511955597,-1.603735958,0.186530208,-0.013272571,0.187002771
Csa01g002060,0.663083587,-0.064811277,-1.801965955,-0.256602653,1.027604694,0.432691604
Csa01g002110,0.587878364,0.721414288,-1.789092175,-0.478272078,0.128739594,0.829332007
Csa01g002120,-0.247121293,-0.246166764,-1.734516827,1.119316049,0.51859192,0.589896914
Csa01g002150,1.297727089,1.110165548,-1.261613318,-0.506299425,-0.443768896,-0.196210999
Csa01g002160,0.501542132,-0.001144574,-1.945888429,0.344286926,0.206281011,0.894922934
Csa01g002200,0.211970592,1.132150793,-1.641794269,-0.482219336,-0.079715045,0.859607265
Csa01g002220,0.389666792,0.574020613,-1.905622976,-0.292346491,0.758683649,0.475598413
Csa01g002230,-0.475333838,1.045658987,-1.350059533,-0.571870693,0.120131748,1.231473328
Csa01g002250,1.459173245,0.21823365,-1.071655991,-1.209241502,0.424983869,0.178506728
Csa01g002280,0.616574534,1.051771552,-1.521739377,-0.18101244,0.780277022,-0.74587129
Csa01g002300,-0.944965892,0.216116349,-1.043336738,-0.34361996,1.612605264,0.503200977
Csa01g002350,1.778894387,0.407467942,-0.273559808,-0.99071866,-0.154425817,-0.767658044
Csa01g002360,1.839041559,-0.11069068,-0.62738065,-1.054849913,0.198632598,-0.244752913
Csa01g002370,-0.239362142,1.678029374,-1.000237411,-0.81354789,0.631536147,-0.256418079
Csa01g002390,-1.464669784,-0.272733107,1.242140016,-0.571345714,0.946937218,0.119671371
Csa01g002430,0.426556751,1.529411675,-1.546834512,-0.168513812,-0.240531384,-8.87E-05
Csa01g002470,-0.95409977,0.891098221,0.187702497,-1.140493898,1.357532095,-0.341739145
Csa01g002480,0.00335996,0.35613149,0.678094546,-1.749795737,1.097030096,-0.384820356
Csa01g002500,-1.348471837,0.620365564,-0.784643782,0.247762861,-0.179793813,1.444781007
Csa01g002560,0.460417115,-0.108671482,-0.819043928,-1.100039812,-0.129296355,1.696634462
Csa01g002600,0.32586663,1.316710724,0.299787495,-1.306156424,0.444059183,-1.080267608
Csa01g002720,0.627152164,0.776678497,-0.710417212,-1.722284453,0.554476427,0.474394576
Csa01g002740,-0.816036525,0.073416883,1.3674188,-1.406369328,0.687061581,0.094508589
Csa01g002750,0.397316377,1.480018083,-0.931709898,-0.231076282,-1.21602817,0.50147989
Csa01g002770,0.521679842,1.125979013,-1.572182392,-0.482742426,0.783413499,-0.376147537
Csa01g002800,1.436193989,0.333826856,-1.651547814,-0.255217638,0.177483913,-0.040739305
Csa01g002810,0.315000221,1.613281237,-1.178029834,-0.78114369,-0.371646718,0.402538784
Csa01g002830,-0.531232731,1.515493231,-1.434725928,0.314028264,-0.288651327,0.425088491
Csa01g002860,-1.025284394,-0.115539182,1.455070174,-0.883551444,0.946277785,-0.376972939
Csa01g002900,1.398762652,0.764128339,-0.989710649,-0.147490717,-1.195585847,0.169896223
Csa01g002930,0.972315257,0.157301197,-1.901280737,0.557516624,-0.094465916,0.308613575
Csa01g002950,0.840274218,-0.326747966,-0.947207511,-0.071776574,-1.003670154,1.509127987
Csa01g003100,0.002835539,0.825072903,-1.657796274,-0.174990479,-0.217090656,1.221968967
Csa01g003120,-0.049903331,0.165301202,-1.206623557,0.384977731,1.601451623,-0.895203668
Csa01g003160,1.312092329,-0.306131561,-0.980613714,-0.284749035,-0.897033451,1.156435431
Csa01g003180,1.813923302,-0.067061414,-0.204227146,-0.645446195,0.201175632,-1.098364179
Csa01g003250,-0.24342557,0.033777904,-0.922610639,-0.591420883,-0.199546062,1.92322525
Csa01g003270,1.576219042,0.681990625,-1.03119513,-0.867335064,-0.471476624,0.111797151
Csa01g003280,0.244295334,0.506940292,-1.760414979,-0.574400391,0.776424003,0.807155741
Csa01g003320,0.17548405,1.20561582,-1.298087722,-1.116635261,0.359329123,0.67429399
Csa01g003420,0.91062618,-0.893985093,1.300996426,-1.039283743,0.390024308,-0.668378077
Csa01g003440,1.784507687,-0.639920789,-1.142890163,-0.239676301,0.035103233,0.202876334
Csa01g003450,1.602565123,-0.072369002,-1.147077932,-0.667615954,-0.416579991,0.701077757
Csa01g003500,-1.587790447,1.164245478,-0.690921791,0.75768953,0.113802925,0.242974304
Csa01g003510,1.034833441,-0.252108001,-1.471930772,-0.629807389,0.194519004,1.124493717
Csa01g003580,1.41646306,-0.026490303,-1.658404373,-0.248308458,0.104327253,0.412412821
Csa01g003590,0.870085092,-0.637190218,-1.569013547,-0.165138958,0.418229255,1.083028376
Csa01g003600,1.072529905,1.064097704,-1.003919484,-1.240068267,0.341767682,-0.234407539
Csa01g003610,1.424197679,0.309067934,-1.630637111,-0.340757957,0.309710725,-0.07158127
Csa01g003620,0.787573755,-0.013466731,-1.60525627,-0.414240368,-0.031371629,1.276761243
Csa01g003690,0.887295912,0.229342001,0.601610266,-0.920300732,0.748384068,-1.546331514
Csa01g003720,0.933653747,-0.171759694,-0.418568749,-0.768665269,1.485911152,-1.060571187
Csa01g003750,0.213677527,-0.545440399,0.969552629,-1.534683097,1.141030003,-0.244136662
Csa01g004750,1.095246687,0.347323272,-1.280205994,-1.217239912,0.489893205,0.564982741
Csa01g004770,-0.40536459,1.738524637,-1.219610331,0.016693399,-0.463243381,0.333000265
Csa01g004810,-0.103795627,1.450175628,-0.881656992,-0.937876046,0.984022065,-0.510869027
Csa01g004820,1.336786292,-0.517653708,-1.338670257,-0.454133851,0.000655078,0.973016447
Csa01g004900,-1.842432614,0.659602359,-0.397704669,0.462276098,0.264810542,0.853448284
Csa01g004980,1.09187148,1.059491871,-0.903039731,-0.525953111,-1.177358226,0.454987717
Csa01g005060,-0.415292965,1.217379678,-1.234888975,-0.828628216,0.219412707,1.042017771
Csa01g005210,0.79641057,0.660664501,-1.722311283,-0.469964867,0.853280051,-0.118078972
Csa01g005230,-0.032056875,1.196386378,-1.816756061,0.140368273,0.014964511,0.497093773
Csa01g005310,0.882744361,0.071118911,-1.800110743,-0.306429788,0.246888969,0.905788291
Csa01g005340,0.410423689,0.737575165,-1.871169257,0.342692441,-0.355856722,0.736334684
Csa01g005380,-1.318595985,1.029040217,0.173818523,-1.135244476,0.400868593,0.850113128
Csa01g005410,1.236198849,-0.734815382,-0.037978748,-1.527260075,0.658416667,0.405438689
Csa01g005420,0.166265572,-0.253496692,-1.629566808,-0.057501624,0.30610274,1.468196813
Csa01g005440,1.267046553,0.695927712,-1.023321407,-0.593575686,-1.024764525,0.678687352
Csa01g005510,1.059815937,1.132090863,-1.515722835,-0.104853207,-0.534202229,-0.037128529
Csa01g005530,0.924514022,-0.792060099,1.094856115,-1.136541809,0.669933294,-0.760701524
Csa01g005540,-1.232266518,0.507910925,-0.874895857,1.322296072,0.717823837,-0.440868459
Csa01g005570,0.676866866,0.051633994,-1.750143683,-0.07388279,-0.112023302,1.207548914
Csa01g005580,-0.600297571,0.858633149,-1.354800106,-0.500006518,0.277398604,1.319072443
Csa01g005620,0.336502593,-0.505217433,-1.186194423,1.721457153,0.128070508,-0.494618398
Csa01g005800,1.587732681,-0.071348982,-1.280756654,0.352818338,-0.81193974,0.223494358
Csa01g005840,-1.129137031,0.932876242,-1.12155748,-0.359066339,0.662373183,1.014511425
Csa01g005880,1.217674046,-0.645332712,-0.963290833,-0.451909163,-0.476751923,1.319610584
Csa01g005890,-1.326524412,0.629606001,-0.876972532,1.188148821,-0.349693375,0.735435497
Csa01g006000,-0.637477719,0.410021882,1.81263832,-0.429794393,-0.198443143,-0.956944947
Csa01g006030,-1.065707854,0.06006289,-1.241168251,0.976182922,0.106175834,1.164454459
Csa01g006040,0.88190386,0.534007843,0.307776654,-1.844574207,0.525520358,-0.404634509
Csa01g006100,1.14509517,0.436190341,0.820662854,-1.489520547,-0.147933357,-0.764494461
Csa01g006110,-0.065596805,0.797856455,-1.86129255,-0.108019332,0.375735165,0.861317067
Csa01g006120,0.279426662,0.608363211,-1.856030067,-0.247421569,0.216146606,0.999515156
Csa01g006130,-1.281402195,0.891151317,-0.089128594,-0.995992232,1.225308903,0.250062801
Csa01g006180,1.658575219,0.699039778,-0.733517748,-0.650759857,-0.083405682,-0.889931709
Csa01g006220,-0.817846555,0.212603007,0.599396363,-0.971810152,-0.630172911,1.607830247
Csa01g006350,0.021704183,1.271580469,-0.731491584,-0.86433801,-0.862306629,1.164851571
Csa01g006360,1.055008244,0.145462702,-1.25569685,-0.934530459,-0.185514212,1.175270575
Csa01g006370,0.057328715,-0.437822329,0.576362663,-1.786881137,0.711163959,0.879848129
Csa01g006380,-0.274073045,0.722636685,-1.859766674,0.069181597,0.531994099,0.810027339
Csa01g006440,1.811635222,0.274915632,-0.830019202,-0.630780173,0.111271205,-0.737022683
Csa01g006460,-0.562607982,-0.295563979,1.066222092,-1.144211272,1.393247141,-0.457086001
Csa01g006610,-0.684725644,0.454463862,1.673642888,-0.852653656,-0.853053224,0.262325774
Csa01g006630,1.484117968,-0.094770311,-1.535037546,-0.465639803,0.18652259,0.424807103
Csa01g006670,1.342827167,-0.310491331,0.023218002,-1.499352444,0.835631697,-0.391833092
Csa01g006830,0.584151464,-1.234561195,-1.097795283,-0.194429624,1.020070221,0.922564418
Csa01g006850,-1.411181777,1.185493893,-0.71515829,0.983578167,-0.269740531,0.227008538
Csa01g006930,0.665330519,0.493999986,-1.77730899,-0.375388464,-0.013300163,1.006667112
Csa01g006950,1.560240646,0.431524015,-0.718904772,-1.350907675,0.170581495,-0.092533709
Csa01g007000,0.938634326,-0.098465627,-0.867496933,-1.09944333,1.433195094,-0.30642353
Csa01g007030,0.161881055,-0.180785354,-1.713210462,0.889751903,-0.234400394,1.076763251
Csa01g007060,-0.115039021,0.61460828,-1.943338962,0.182497955,0.587348165,0.673923582
Csa01g007070,-0.056299754,0.322906232,-1.419047757,0.223592298,-0.630448021,1.559297003
Csa01g007120,0.601670103,0.699598975,-1.18828509,-1.211291714,1.126287019,-0.027979293
Csa01g007170,-0.729146887,-0.054150882,-1.088770772,0.745487311,-0.458875403,1.585456634
Csa01g007180,1.04747151,0.955943939,-1.616328981,-0.292772184,-0.425503612,0.331189327
Csa01g007200,-0.037300596,0.426638872,0.403624456,-1.943480947,0.247607642,0.902910573
Csa01g007210,0.637450576,1.551293924,-1.398120198,-0.367512156,-0.148999274,-0.274112871
Csa01g007420,1.282804621,0.225787826,-1.018992534,-1.315048917,0.100434819,0.725014185
Csa01g007440,0.982747822,0.421152208,-1.804001541,-0.297903086,-0.018465061,0.716469658
Csa01g007450,0.287755228,0.788453203,-1.993693849,0.145689819,0.357057172,0.414738427
Csa01g007540,-1.341548015,-0.277543479,1.522818451,-0.655372956,0.590582098,0.161063901
Csa01g007550,0.785081478,0.764548563,-1.86403864,-0.044973958,0.538767835,-0.179385279
Csa01g007580,0.352174881,-0.167978801,-1.727797922,-0.309914658,1.082741444,0.770775057
Csa01g007610,1.566140689,0.624050303,-1.149625049,-0.875398335,0.084993632,-0.250161239
Csa01g007640,0.239010521,0.645345781,1.195386499,-1.525832701,0.277968494,-0.831878594
Csa01g007680,-0.724368516,0.449768172,-1.58289855,0.997962134,-0.018618107,0.878154866
Csa01g007730,-0.569437385,0.41102388,1.595310136,-0.739978571,-1.113759732,0.416841673
