CGI,Ave CO46 week 0,Ave CO46 week 1,Ave CO46 week 2,Ave CO46 week 4,Ave CO46 week 6,Ave CO46 week 8
Csa16g046290,2.959983087,3.398650443,3.617645023,2.510757808,2.761883684,3.51830927
Csa08g049390,3.018431546,1.82515018,0.832318383,0.885201509,0.831103638,1.034135763
Csa01g029900,2.945171368,3.161507169,2.070932136,3.091088812,3.841027421,3.516216733
Csa18g022250,4.505306062,4.851621668,3.396622051,4.238000318,4.683901854,4.571739808
Csa13g014720,5.814760067,2.925499746,2.650596416,2.335754768,2.442376156,2.978337707
Csa11g090560,3.355384479,2.130438373,2.267403768,2.367979416,1.81086198,2.236428416
Csa09g001250,4.351992757,6.045749066,6.333691811,5.190613485,5.900959695,6.079655801
Csa03g038340,5.612874831,6.050219619,6.085870586,7.723568817,7.17176076,9.242213382
Csa11g024980,12.86668944,10.78037412,13.98133972,10.93168253,15.09283328,16.95654887
Csa05g018230,9.97361242,5.129986825,3.57531263,4.735096636,4.457069082,4.015954194
Csa18g022750,2.534868285,1.489457216,1.741785391,1.908746999,1.858781985,1.931783103
Csa19g036700,2.968829796,1.559036241,2.698345271,2.348253702,2.583518084,2.987831253
Csa02g055830,1.098073756,2.383439944,2.382148853,0.577293574,1.567054646,0.19220577
Csa19g006760,3.803716244,4.559181013,3.467671492,3.81379055,3.175168175,4.278900677
Csa05g043260,7.358702398,4.932534656,2.708830978,4.628162211,4.620146644,2.638576964
Csa11g043370,23.55049112,34.17420456,32.89367023,30.44091392,30.01656095,28.93417717
Csa20g041050,0.363373038,1.274630139,1.035144747,2.072069867,1.531455939,2.648165096
Csa19g049350,12.75113934,13.96017344,8.025188242,7.813363777,8.364727809,9.615752608
Csa19g049340,4.56440835,4.852052853,5.230624225,4.909638271,4.748520247,4.936625527
Csa02g015620,7.703470442,5.685569864,12.29963276,8.396985131,11.75448713,12.81069769
Csa14g049470,8.940437171,11.89243433,8.161992078,8.573996009,10.09307668,13.96940526
Csa08g006630,5.443517804,10.61283194,7.799202776,6.577146204,6.836739937,6.764793592
Csa11g016870,9.081601114,2.655631749,2.307033479,0.966322816,0.914383705,1.318336799
Csa12g006180,1.189182955,1.815036908,2.80374319,2.65739842,2.103727399,2.442503297
Csa01g006180,7.261397368,8.644937506,8.585701696,10.78092725,10.22583431,10.0801986
Csa17g048660,16.80311449,10.73318228,14.72384438,9.063846142,10.71411378,10.0062644
Csa08g011060,9.044503301,6.647563662,4.321815736,5.276006905,4.601477151,5.28553196
Csa19g018860,1.976163882,1.435169084,1.824768926,1.527852101,1.744952216,1.702573589
Csa14g018010,8.08087233,5.95772745,4.243467065,4.580637754,4.90572117,5.349916749
Csa15g023450,2.857302451,1.932291367,2.163017592,2.182791187,2.238731447,2.409774931
Csa01g019950,3.657602589,3.521681362,2.243870937,3.10691243,2.989401518,3.22408278
Csa09g092460,6.920374208,5.259608868,4.406635325,4.595139046,4.234327808,4.65502822
Csa17g007740,3.241321753,4.678614742,3.847452891,3.331111944,3.272015582,3.743592834
Csa05g023130,14.00475614,5.967807397,5.98954582,4.542001547,4.313387917,7.167203529
Csa20g050360,5.764851391,3.245109592,2.593630212,2.478913164,2.30046316,3.445605172
Csa11g037200,25.25602502,13.44780985,14.0302508,13.83730434,14.5027052,13.60539447
Csa04g029360,10.73626865,6.5829412,8.00399857,8.335653972,9.670681511,10.12147863
Csa14g067980,70.49817352,80.58815695,30.90768833,37.76833676,36.13223244,44.71814119
Csa19g003000,8.057754855,6.42263298,4.583923475,4.926037216,4.574769176,5.697396121
Csa01g039810,25.10680639,14.44819993,12.8248818,20.87906416,12.40382468,17.912101
Csa11g010070,8.020021532,10.26141813,8.13588778,9.445668209,10.69330971,10.89031554
Csa09g022750,5.813198035,3.97439346,2.825577331,1.830985301,2.58331835,2.288783161
Csa07g063960,1.157798082,4.808736007,4.882230627,7.44406798,6.084132695,8.618279252
Csa10g011780,1.454951072,1.220504685,1.077332055,1.801633839,1.265148952,1.497934016
Csa14g009560,11.54335058,9.178553447,8.201103845,7.431744261,8.011419642,6.969852275
Csa20g018970,2.94558609,2.21797199,1.814779622,1.174143268,1.204643864,1.566333606
Csa07g023290,145.3568236,139.690984,190.0562711,245.200867,162.4039039,185.9539803
Csa18g026060,1098.66776,907.9152291,666.6219929,958.6089437,831.5859491,626.4167986
Csa11g087800,2171.773756,1782.492561,1126.226555,1841.740626,1848.414547,1490.239044
Csa17g020480,6.098766292,2.234026146,1.920226919,2.345096058,2.008534825,2.192598539
Csa18g029780,2.79412888,1.698065236,2.721675541,2.19602496,2.253894768,2.045094812
Csa04g047000,2.603634659,1.84562306,1.667381386,1.685536338,2.216073752,1.911999129
Csa03g039400,15.95828545,13.45976495,8.045803306,11.79649095,10.69297919,11.34682339
Csa10g033060,10.72752857,8.247581481,9.436943984,7.234829317,7.685453017,8.296785431
Csa11g041740,7.371932911,6.433307818,5.251464267,6.52675298,6.314463552,8.096901422
Csa11g035430,3.705406916,4.066639719,2.27439775,1.804958668,2.007792824,2.450644234
Csa05g035180,1.074127212,1.335754864,1.471728171,1.995912718,2.20502479,2.52549811
Csa11g093050,11.5762053,7.581296989,6.541557617,10.3807664,9.489078689,13.68205553
Csa20g008850,4.951660829,14.28754987,15.60915549,15.90969938,22.48153507,15.11141596
Csa06g054000,1.175480146,1.697726291,2.442279707,2.196050249,1.962153566,2.217704775
Csa05g022840,1.238907111,2.221643404,3.093090235,2.189136108,2.016414892,2.499314025
Csa05g016610,12.1265449,16.03853594,13.18074248,17.48082562,19.08736131,15.40948736
Csa14g008960,58.05635304,56.1772816,95.5812641,41.99104267,42.72292479,29.92599685
Csa06g004420,16.16938049,16.13212665,10.93758976,20.47461691,17.01807501,20.7024977
Csa12g007840,12.32550565,10.15374562,4.106055964,7.893598175,9.571360301,11.73098295
Csa09g077220,3.174905567,1.673429451,1.67869295,1.100247549,1.083632609,1.255644095
Csa09g077210,2.623569335,0.252702687,0.370885573,0.188191791,0.164569734,0.200222023
Csa09g011810,9.929397652,13.68553747,15.70264365,13.79659502,15.36485507,13.59615555
Csa09g058900,1.738352796,2.510323927,1.629644405,1.504866649,2.846054431,3.869023011
